time,temperature_2m_mean,precipitation_sum,relative_humidity_2m_mean,city,split
2010-05-02,32.8,0.0,24,Bhopal,train
2007-03-17,27.5,0.0,74,Chennai,train
2015-06-29,31.3,0.2,62,Chennai,train
2012-12-03,14.7,0.0,62,Delhi,train
2006-11-26,19.7,0.0,57,Patna,train
2021-02-01,25.7,0.0,53,Mumbai,train
2012-11-05,24.4,0.2,71,Nagpur,train
2010-10-10,29.5,2.0,73,Chennai,train
2010-04-20,34.9,0.0,42,Patna,train
2024-05-19,24.3,9.1,84,Bengaluru,train
2015-05-18,34.6,0.3,39,Delhi,train
2007-11-17,19.7,0.0,60,Ludhiana,train
2013-02-01,14.6,0.0,82,Delhi,train
2022-12-25,19.1,0.0,81,Patna,train
2024-08-01,25.5,3.7,81,Hyderabad,train
2018-11-02,28.6,0.0,64,Mumbai,train
2005-04-21,31.7,0.0,20,Delhi,train
2011-10-21,25.4,0.4,83,Patna,train
2004-05-07,30.5,0.0,41,Delhi,train
2018-11-13,23.8,0.0,38,Bhopal,train
2024-12-05,22.3,0.8,85,Bengaluru,train
2012-07-10,27.4,0.8,78,Nagpur,train
2008-02-09,23.0,0.0,71,Hyderabad,train
2022-03-29,32.2,0.0,24,Ahmedabad,train
2024-09-16,30.7,0.4,63,Chennai,train
2024-03-22,26.2,0.0,31,Bhopal,train
2023-03-12,23.4,0.0,53,Bengaluru,train
2022-07-11,32.1,0.4,64,Patna,train
2018-01-10,20.8,0.1,70,Bengaluru,train
2023-06-04,28.4,0.0,58,Ludhiana,train
2018-09-11,26.2,0.1,76,Nagpur,train
2019-05-01,34.0,0.0,20,Bhopal,train
2024-02-07,26.1,0.0,58,Mumbai,train
2010-10-14,26.8,0.0,82,Patna,train
2011-12-11,26.0,0.0,55,Mumbai,train
2019-06-27,28.4,0.6,67,Hyderabad,train
2004-04-04,30.7,0.0,40,Ahmedabad,train
2004-09-17,26.0,18.1,83,Patna,train
2017-12-17,22.5,0.0,49,Ahmedabad,train
2017-05-18,25.8,36.1,75,Bengaluru,train
2005-06-03,35.7,0.0,23,Patna,train
2005-02-06,20.3,0.0,47,Bhopal,train
2018-12-05,25.7,6.9,90,Chennai,train
2020-05-27,36.3,0.0,24,Bhopal,train
2021-05-05,33.5,0.0,32,Nagpur,train
2020-04-01,23.9,0.0,56,Delhi,train
2010-11-13,23.4,0.0,75,Patna,train
2008-12-22,22.7,0.0,50,Hyderabad,train
2016-10-24,26.9,0.0,80,Mumbai,train
2013-10-29,23.8,0.0,73,Patna,train
2021-04-13,30.3,0.0,22,Delhi,train
2017-03-09,23.1,0.5,61,Patna,train
2011-06-30,26.8,22.2,91,Patna,train
2021-11-05,25.0,26.0,90,Chennai,train
2015-07-14,28.8,0.0,83,Ludhiana,train
2009-08-30,26.1,1.4,74,Hyderabad,train
2021-06-02,24.8,18.0,78,Bengaluru,train
2009-06-01,23.7,1.8,82,Bengaluru,train
2022-10-26,20.1,0.0,66,Bengaluru,train
2007-10-15,24.8,0.0,58,Nagpur,train
2019-09-19,25.3,7.1,89,Bhopal,train
2019-01-05,24.3,0.0,68,Chennai,train
2009-03-24,27.0,0.0,77,Chennai,train
2016-11-27,21.5,0.0,47,Bhopal,train
2023-10-11,24.0,1.0,76,Bengaluru,train
2014-04-04,29.4,0.0,61,Mumbai,train
2024-08-29,27.6,8.9,78,Chennai,train
2023-05-24,33.7,0.0,29,Bhopal,train
2021-09-08,28.7,3.3,77,Ludhiana,train
2014-10-14,25.9,9.8,87,Patna,train
2018-11-05,28.9,0.5,73,Mumbai,train
2020-10-22,29.3,1.6,58,Ahmedabad,train
2019-08-20,28.2,10.4,83,Chennai,train
2021-08-04,28.2,0.8,77,Ahmedabad,train
2011-05-30,33.4,0.0,49,Ahmedabad,train
2005-08-17,27.5,2.6,83,Ahmedabad,train
2013-03-08,26.6,0.0,25,Nagpur,train
2012-07-03,32.4,1.6,59,Ahmedabad,train
2020-02-17,25.7,0.0,28,Ahmedabad,train
2014-12-16,24.8,0.0,50,Mumbai,train
2008-07-29,29.2,1.3,64,Chennai,train
2012-07-29,28.7,10.1,86,Delhi,train
2008-10-01,25.7,0.0,83,Mumbai,train
2024-12-30,23.8,0.0,66,Nagpur,train
2021-05-08,29.6,0.0,55,Hyderabad,train
2015-10-28,20.1,0.0,60,Ludhiana,train
2023-10-18,25.2,0.0,78,Patna,train
2021-09-15,22.9,1.6,81,Bengaluru,train
2011-10-27,28.7,0.0,60,Mumbai,train
2021-03-30,31.0,0.0,37,Ahmedabad,train
2012-02-28,18.7,0.0,40,Delhi,train
2017-08-10,23.3,3.9,80,Bengaluru,train
2017-03-18,26.7,0.0,49,Bengaluru,train
2016-05-01,33.6,0.6,37,Hyderabad,train
2011-09-26,26.4,0.0,77,Ahmedabad,train
2017-09-03,25.8,0.5,80,Hyderabad,train
2019-07-07,30.8,9.0,74,Ludhiana,train
2008-07-14,30.4,0.0,51,Hyderabad,train
